question,label
Please let me know are there guest house facilities available for visiting parents? for this academic year?,Other
Can anyone tell me what student clubs or extracurricular activities can I join? for international students?,Other
Is hostel accommodation compulsory for all engineering students?,Hostel
Do you know what is the admission eligibility criteria for B.Sc? for the next semester?,Admissions
I have a query about: how much is the laboratory and library security deposit fee? for the next semester?,Fees
Could you please inform me what is the last date to submit the academic fees for M.Sc??,Fees
Quick question: how do I register with the university placement cell? for the upcoming batch?,Placement
I want to know is there a separate hostel building for freshers? as soon as possible?,Hostel
I want to know how is the quality of food in the hostel mess??,Hostel
Could you please inform me whom should I contact in the accounts department regarding fee discrepancies? for international students?,Fees
Quick question: is there a maximum number of backlogs allowed to move to the next year? for new admissions?,Exams
Quick question: does the college provide bus routes or transport facilities? for new admissions?,Other
Please let me know what is the admission eligibility criteria for M.Tech??,Admissions
Do you know how do I apply for an official transcript of my marksheet? for new admissions?,Exams
Do you know how do I book the seminar hall or auditorium for student events? for the next semester?,Other
Please let me know what are the rules and regulations regarding hostel safety? for international students?,Hostel
Can you tell me are there placements for postgraduate courses like management? for the next semester?,Placement
I have a query about: how can I download my exam hall ticket or admit card? for this academic year?,Exams
I want to know are international job opportunities offered during placements??,Placement
Are off-campus placement drives supported by the college?,Placement
Do you know where can I find the exam timetable and date sheet online? for this academic year?,Exams
Can you tell me what is the procedure to clear backlogs or reappear in a failed exam??,Exams
Do you know what is the intake capacity for the MBA course? for this academic year?,Admissions
I have a query about: which entrance exam score is required for engineering admissions? as soon as possible?,Admissions
Do you know what is the admission eligibility criteria for PhD? for new admissions?,Admissions
Can you tell me are off-campus placement drives supported by the college? for international students?,Placement
Quick question: what documents do I need to upload during the application process? for new admissions?,Admissions
Does the placement cell assist in securing internships?,Placement
Could you please inform me how can I check the status of my admission application??,Admissions
Do you know who is the main contact person for student grievances??,Other
Please let me know how much weightage do internal mid-term assessments carry??,Exams
What are the hostel charges for a single room?,Hostel
"Is there a cafeteria or food court on campus, and what are its timings?",Other
Can you tell me which entrance exam score is required for engineering admissions? for the next semester?,Admissions
Could you please inform me how do I register my laptop for the campus Wi-Fi network? for the next semester?,Other
Please let me know how can I download the fee receipt for my payment? as soon as possible?,Fees
Please let me know is there a separate hostel building for freshers? for new admissions?,Hostel
Can anyone tell me does the college offer a discount on prepaying the annual fees? for international students?,Fees
I have a query about: when is the application deadline for the upcoming academic year??,Admissions
Can anyone tell me is there a maximum number of backlogs allowed to move to the next year? for the upcoming batch?,Exams
I have a query about: is there a placement policy regarding accepting multiple offers? for the upcoming batch?,Placement
Do you know where is the campus lost and found office located? for the next semester?,Other
Quick question: when will the first merit list for M.Sc be released??,Admissions
